level5.5_linkID,ITS_linkID,road_rank,road_length,road_name,sido_code,sigungu_code,emd_code,sido_name,sigungu_name,emd_name,week_type,velocity_AVRG
1080432,2230190000,107,0.297,오산대역로,31,31140,3114054,경기도,오산시,신장동,weekend,28.76
1080433,2230116800,107,0.166,삼미로,31,31140,3114054,경기도,오산시,신장동,weekend,22.62
1080434,2230190000,107,0.692,삼미로,31,31140,3114054,경기도,오산시,신장동,weekend,33.66
1080435,2230190100,107,0.692,삼미로,31,31140,3114054,경기도,오산시,신장동,weekend,28.86
1080436,2230190100,107,0.297,오산대역로,31,31140,3114054,경기도,오산시,신장동,weekend,32.63
1080437,2230187200,107,0.009,오산대역로,31,31140,3114054,경기도,오산시,신장동,weekend,24.84
1080438,2230187600,107,0.3,삼미로,31,31140,3114054,경기도,오산시,신장동,weekend,28.15
1080439,2230187700,107,0.3,삼미로,31,31140,3114054,경기도,오산시,신장동,weekend,29.69
1080440,2230116700,107,0.166,삼미로,31,31140,3114054,경기도,오산시,신장동,weekend,12.49
1080441,2230187300,107,0.009,오산대역로,31,31140,3114054,경기도,오산시,신장동,weekend,19.06
1080442,2230187200,107,0.447,오산대역로,31,31140,3114054,경기도,오산시,신장동,weekend,38.05
1080443,2230088903,103,0.531,경기대로,31,31140,3114054,경기도,오산시,신장동,weekend,34.94
1080444,2230089004,103,0.032,경기대로,31,31140,3114054,경기도,오산시,신장동,weekend,61.81
1080445,2230088903,103,0.032,경기대로,31,31140,3114054,경기도,오산시,신장동,weekend,57.53
1080446,0,107,0.211,오산대역로,31,31140,3114054,경기도,오산시,신장동,weekend,32.14
1080447,0,107,0.219,오산대역로,31,31140,3114054,경기도,오산시,신장동,weekend,23.82
1080448,0,107,0.12,삼미로,31,31140,3114054,경기도,오산시,신장동,weekend,20.89
1080449,0,107,0.12,삼미로,31,31140,3114054,경기도,오산시,신장동,weekend,13.49
1080450,2230189600,107,0.535,내삼미로,31,31140,3114054,경기도,오산시,신장동,weekend,34.92
1080451,2230189800,107,0.535,내삼미로,31,31140,3114054,경기도,오산시,신장동,weekend,26.87
1080452,2230158002,107,0.216,독산성로,31,31140,3114055,경기도,오산시,세마동,weekend,40.11
1080453,2230158102,107,0.389,독산성로,31,31140,3114055,경기도,오산시,세마동,weekend,44.03
1080454,2230160802,107,0.535,오산대역로,31,31140,3114054,경기도,오산시,신장동,weekend,61.21
1080455,2230160902,107,0.579,오산대역로,31,31140,3114054,경기도,오산시,신장동,weekend,50.64
1080456,2230181400,107,0.856,수청로,31,31140,3114054,경기도,오산시,신장동,weekend,30.2
1080457,0,107,0.31,수청로,31,31140,3114054,경기도,오산시,신장동,weekend,21.9
1080458,2230182500,107,0.348,문헌공로,31,31140,3114054,경기도,오산시,신장동,weekend,28.61
1080459,2230058800,107,0.153,수청로,31,31140,3114054,경기도,오산시,신장동,weekend,19.7
1080460,2230058700,107,0.153,수청로,31,31140,3114054,경기도,오산시,신장동,weekend,16.79
1080461,2230180000,107,0.989,수청로,31,31140,3114054,경기도,오산시,신장동,weekend,24.6
1080462,2230180300,107,0.989,여계산로,31,31140,3114054,경기도,오산시,신장동,weekend,25.28
1080463,2230181200,107,0.529,수목원로,31,31140,3114054,경기도,오산시,신장동,weekend,46.51
1080464,2230181300,107,0.529,수목원로,31,31140,3114054,경기도,오산시,신장동,weekend,35.58
1080465,2230009500,103,0.458,경기대로,31,31140,3114054,경기도,오산시,신장동,weekend,46.08
