,link_id,week_type,velocity_CG_AVRG
404,571245686,weekend,18.48
405,571245686,weekend,15.75
406,571245732,weekend,18.95
407,571245732,weekend,19.62
409,571245773,weekend,13.85
410,571245773,weekend,9.19
411,571245777,weekend,10.17
412,571245777,weekend,12.08
413,571245810,weekend,13.72
414,571245810,weekend,13.27
415,571245811,weekend,13.27
416,571245811,weekend,13.72
417,571245826,weekend,13.74
418,571245826,weekend,10.93
419,571245851,weekend,30.31
420,571245851,weekend,30.08
421,571245892,weekend,11.33
422,571245892,weekend,13.85
423,571245894,weekend,13.34
424,571245894,weekend,13.0
425,571245895,weekend,13.0
426,571245895,weekend,13.34
427,571245937,weekend,17.68
428,571245937,weekend,12.49
429,571245938,weekend,12.49
430,571245938,weekend,17.68
431,571245940,weekend,17.68
432,571245940,weekend,12.49
433,571245941,weekend,12.49
434,571245941,weekend,17.68
435,571246103,weekend,44.49
436,571246103,weekend,46.23
437,571246111,weekend,44.49
438,571246111,weekend,46.23
440,571246182,weekend,30.42
441,571246182,weekend,29.11
442,571246184,weekend,29.11
443,571246184,weekend,30.42
444,571246202,weekend,39.72
445,571246202,weekend,29.05
446,571246204,weekend,29.05
447,571246204,weekend,39.72
448,571246208,weekend,43.51
449,571246208,weekend,48.38
450,571246210,weekend,43.51
451,571246210,weekend,48.38
453,571246216,weekend,36.69
454,571246216,weekend,40.83
455,571246224,weekend,47.03
456,571246234,weekend,17.15
457,571246234,weekend,16.6
458,571246236,weekend,17.15
459,571246238,weekend,17.15
460,571246238,weekend,16.6
461,571246244,weekend,46.33
462,571246244,weekend,47.03
463,571246246,weekend,47.03
464,571246246,weekend,46.33
465,571246342,weekend,44.49
466,571246342,weekend,46.23
467,571246472,weekend,33.14
468,571246472,weekend,30.7
469,571246484,weekend,12.57
470,571246484,weekend,14.62
471,571246496,weekend,17.68
472,571246496,weekend,12.49
473,571247070,weekend,40.5
474,571247108,weekend,13.33
475,571247108,weekend,22.69
476,571247188,weekend,45.37
477,571247188,weekend,39.09
478,571247290,weekend,39.72
479,571247290,weekend,29.05
480,571247292,weekend,29.05
481,571247292,weekend,39.72
482,571247296,weekend,43.51
483,571247296,weekend,48.38
484,571247298,weekend,48.38
485,571247298,weekend,43.51
486,571247376,weekend,26.07
487,571247376,weekend,21.88
488,571247448,weekend,14.62
489,571247448,weekend,12.57
490,571247454,weekend,12.53
491,571247454,weekend,15.12
492,571247456,weekend,15.12
493,571247456,weekend,12.53
494,571247458,weekend,15.2
495,571247458,weekend,17.19
496,571247460,weekend,17.19
497,571247460,weekend,15.2
498,571247462,weekend,10.75
499,571247462,weekend,13.24
500,571247464,weekend,13.24
501,571247464,weekend,10.75
502,571248050,weekend,12.92
503,571248050,weekend,14.38
504,571248198,weekend,14.38
505,571248198,weekend,12.92
506,571248200,weekend,12.92
507,571248200,weekend,14.38
508,571248202,weekend,43.84
509,571248202,weekend,41.27
511,571248364,weekend,15.12
512,571248364,weekend,12.53
513,571248642,weekend,46.23
514,571248642,weekend,44.49
515,571248644,weekend,46.23
516,571248644,weekend,44.49
517,571248648,weekend,44.49
518,571248648,weekend,46.23
519,571248738,weekend,14.38
520,571248738,weekend,12.92
521,571248740,weekend,12.92
522,571248740,weekend,14.38
523,571248966,weekend,15.75
524,571248966,weekend,18.48
525,571249026,weekend,46.92
526,571249026,weekend,47.88
527,571249304,weekend,15.53
528,571249304,weekend,15.58
529,571249338,weekend,12.53
530,571249338,weekend,15.12
531,571249340,weekend,15.12
532,571249340,weekend,12.53
533,571249342,weekend,12.53
534,571249342,weekend,15.12
535,571249344,weekend,15.12
536,571249344,weekend,12.53
537,571249568,weekend,18.27
538,571249568,weekend,15.81
539,571249630,weekend,31.43
540,571249630,weekend,30.09
541,571249818,weekend,32.13
542,571249818,weekend,39.85
543,571249820,weekend,39.85
544,571249820,weekend,32.13
545,571249822,weekend,39.85
546,571249822,weekend,32.13
547,571249824,weekend,32.13
548,571249824,weekend,39.85
549,571250074,weekend,12.67
550,571250076,weekend,12.67
551,571250080,weekend,11.59
555,571250102,weekend,11.45
556,571250102,weekend,14.55
557,571250118,weekend,14.55
558,571250118,weekend,11.45
559,571250122,weekend,51.87
560,571250122,weekend,50.0
561,571250172,weekend,16.09
562,571250172,weekend,15.05
563,571250174,weekend,15.05
564,571250174,weekend,16.09
565,571250344,weekend,50.0
566,571250344,weekend,51.87
567,571250354,weekend,15.58
568,571250354,weekend,15.53
569,571250368,weekend,18.48
570,571250368,weekend,15.75
571,571250370,weekend,15.75
572,571250370,weekend,18.48
